ID,x,y,說明
1,121.005713,24.841973,a
2,120.943586,24.84917,b
3,121.024334,24.809363,a
4,121.013297,24.822003,b
5,121.016593,24.83019,a
6,121.016217,24.829576,b
7,121.017897,24.831158,a
8,121.008058,24.828512,b
9,121.024166,24.813251,a
10,121.047446,24.807211,b
11,121.033003,24.808507,a
12,121.029054,24.820312,b
13,121.02395,24.820331,a
14,121.022585,24.811634,b
15,121.026292,24.816519,a
16,121.018801,24.819239,b
17,121.030232,24.809168,a
18,121.027828,24.813884,b
19,121.022659,24.809391,a
20,121.025752,24.823676,b
21,121.024642,24.821722,a
22,121.030232,24.809168,b
23,121.022585,24.811634,a
24,121.022589,24.821032,b
25,121.018996,24.840974,a
26,121.02398,24.812601,b
27,121.025142,24.810441,a
28,121.02796,24.819125,b
29,121.029013,24.819708,a
30,121.018801,24.819239,b
31,121.015753,24.819474,a
32,121.011836,24.835235,b
33,121.018801,24.819239,a
34,121.030232,24.809168,b
35,121.015391,24.822245,a
36,121.021774,24.809257,b
37,121.025694,24.811668,a
38,121.00861,24.824871,b
39,121.015611,24.843832,a
40,121.022585,24.811634,b
41,121.028748,24.809964,a
42,121.030232,24.809168,b
43,121.030232,24.809168,a
44,121.035056,24.801695,b
45,121.033163,24.804264,a
46,121.028748,24.809964,b
47,121.033003,24.808507,a
48,121.030232,24.809168,b
49,121.037154,24.80648,a
50,121.030232,24.809168,b
51,121.0304,24.817439,a
52,121.027828,24.813884,b
53,121.0304,24.817439,a
54,121.02398,24.812601,b
55,121.030232,24.809168,a
56,121.016593,24.83019,b
57,121.018801,24.819239,a
58,121.082279,24.745678,b
59,121.082279,24.745678,a
60,121.022585,24.811634,b
61,121.024769,24.811926,a
62,121.010073,24.821124,b
63,120.999391,24.837008,a
64,121.020961,24.812979,b
65,121.03207,24.806204,a
66,121.024769,24.811926,b
67,121.027364,24.810647,a
68,120.991053,24.845741,b
69,121.032702,24.80386,a
70,121.013297,24.822003,b
71,121.030232,24.809168,a
72,121.030232,24.809168,b
73,121.04004,24.805702,a
74,121.018801,24.819239,b
75,121.020961,24.812979,a
76,121.024166,24.813251,b
77,121.022328,24.811343,a
78,121.028956,24.819032,b
79,121.027364,24.810647,a
80,121.056815,24.767488,b
81,121.026292,24.816519,a
82,121.028748,24.809964,b
83,121.030232,24.809168,a
84,121.030232,24.809168,b
85,121.035544,24.807038,a
86,121.026292,24.816519,b
87,121.010073,24.821124,a
88,121.022585,24.811634,b
89,121.079763,24.747583,a
90,121.022589,24.821032,b
91,121.018996,24.840974,a
92,121.027364,24.810647,b
93,121.015381,24.82608,a
94,121.013297,24.822003,b
95,121.021774,24.809257,a
96,121.00861,24.824871,b
97,121.024769,24.811926,a
98,121.02398,24.812601,b
99,121.0334,24.807849,a
100,121.025694,24.811668,b
101,121.030232,24.809168,a
102,121.017815,24.833736,b
103,121.013484,24.820976,a
104,121.016217,24.829576,b
105,121.027364,24.810647,a
106,121.027399,24.809313,b
107,121.027364,24.810647,a
108,121.028748,24.809964,b
109,121.032419,24.807013,a
110,121.04004,24.805702,b
111,121.026292,24.816519,a
112,121.046191,24.809361,b
113,121.050932,24.803045,a
114,121.047446,24.807211,b
115,121.005003,24.838736,a
116,121.046191,24.809361,b
117,121.0577,24.765566,a
118,121.0147,24.82101,b
119,121.041578,24.812346,a
120,121.029447,24.820116,b
121,121.050932,24.803045,a
122,121.011973,24.838986,b
123,121.015913,24.843659,a
124,121.047446,24.807211,b
125,121.051443,24.803153,a
126,121.026487,24.834006,b
127,121.050932,24.803045,a
128,120.961233,24.855283,b
129,121.018271,24.834778,a
130,121.01966,24.835861,b
131,121.029904,24.819102,a
132,121.017579,24.830596,b
133,121.033839,24.822889,a
134,121.004819,24.835898,b
135,121.017533,24.833918,a
136,121.051443,24.803153,b
137,121.01577,24.836998,a
138,121.015186,24.829403,b
139,121.015668,24.837589,a
140,121.018103,24.835895,b
141,121.013484,24.820976,a
142,121.088441,24.736542,b
143,121.005553,24.840503,a
144,121.018801,24.819239,b
145,121.024113,24.821588,a
146,121.025752,24.823676,b
147,121.015047,24.827782,a
148,121.025752,24.823676,b
149,121.010306,24.836845,a
150,121.032604,24.823406,b
151,121.032536,24.823337,a
152,121.099873,24.715227,b
153,121.033003,24.808507,a
154,121.013297,24.822003,b
155,121.033839,24.822889,a
156,121.026932,24.83028,b
157,121.029904,24.819102,a
158,121.010427,24.83883,b
159,121.024113,24.821588,a
160,121.037912,24.813081,b
161,121.033839,24.822889,a
162,121.009134,24.830272,b
163,121.013297,24.822003,a
164,121.033839,24.822889,b
165,121.029904,24.819102,a
166,121.033375,24.823862,b
167,121.034426,24.825207,a
168,121.004776,24.836744,b
169,121.026292,24.816519,a
170,121.024088,24.824104,b
171,121.011973,24.838986,a
172,121.005003,24.838736,b
173,121.004246,24.842276,a
174,121.015381,24.82608,b
175,121.033839,24.822889,a
176,120.999662,24.844732,b
177,121.033839,24.822889,a
178,121.025752,24.823676,b
179,121.033839,24.822889,a
180,121.011328,24.833678,b
181,121.024642,24.821722,a
182,121.024719,24.823074,b
183,121.012496,24.830096,a
184,121.041578,24.812346,b
185,121.028956,24.819032,a
186,121.024719,24.823074,b
187,121.024521,24.822407,a
188,121.024521,24.822407,b
189,121.029013,24.819708,a
190,121.029054,24.820312,b
191,121.029447,24.820116,a
192,121.010421,24.829044,b
193,121.02383,24.813131,a
194,121.026419,24.816395,b
195,121.026419,24.816395,a
196,121.029447,24.820116,b
197,121.029447,24.820116,a
198,121.027197,24.820709,b
199,121.050932,24.803045,a
200,120.982293,24.831814,b
201,120.996848,24.82571,a
202,121.002592,24.840047,b
203,121.025752,24.823676,a
204,121.022673,24.821273,b
205,121.02383,24.813131,a
206,121.016593,24.83019,b
207,121.018801,24.819239,a
208,121.014583,24.82508,b
209,121.013484,24.820976,a
210,121.018593,24.821675,b
211,121.024642,24.821722,a
212,121.021774,24.809257,b
213,121.02953,24.805449,a
214,121.015668,24.837589,b
215,121.006863,24.837632,a
216,121.018801,24.819239,b
217,121.027721,24.819589,a
218,121.007673,24.834636,b
219,121.019813,24.83575,a
220,121.027721,24.819589,b
221,121.015818,24.825938,a
222,121.021774,24.809257,b
223,121.02609,24.821091,a
224,121.008909,24.828419,b
225,121.021774,24.809257,a
226,121.014479,24.824446,b
227,121.015994,24.825693,a
228,121.033839,24.822889,b
229,121.015381,24.82608,a
230,120.996006,24.842643,b
231,121.002176,24.839745,a
232,121.014479,24.824446,b
233,120.998944,24.837189,a
234,121.016217,24.829576,b
235,121.011836,24.835235,a
236,121.015381,24.82608,b
237,121.02609,24.821091,a
238,121.018151,24.829541,b
239,121.033003,24.808507,a
240,121.03829,24.810206,b
241,121.018996,24.840974,a
242,121.024959,24.832287,b
243,121.015047,24.827782,a
244,121.027721,24.819589,b
245,121.019813,24.83575,a
246,121.019813,24.83575,b
247,121.015668,24.837589,a
248,121.015047,24.827782,b
249,121.024632,24.824769,a
250,121.010537,24.836826,b
251,121.025752,24.823676,a
252,121.02398,24.812601,b
253,121.025521,24.820342,a
254,121.03,24.822371,b
255,121.017533,24.833918,a
256,121.018103,24.835895,b
257,121.012591,24.83676,a
258,121.014479,24.824446,b
259,121.007739,24.837662,a
