ID,X,Y,描述,半徑,type
1,121.005713,24.841973,B,500,restaurant
2,121.004819,24.835898,BB,500,restaurant
3,120.99577,24.81969,QA,500,restaurant
4,121.0215,24.83502,B,500,restaurant
5,121.017533,24.833918,BB,500,restaurant
6,121.01577,24.836998,QA,500,restaurant
7,121.033839,24.822889,B,500,restaurant
8,121.011973,24.838986,BB,500,restaurant
9,121.088757,24.744717,QA,500,restaurant
10,121.096168,24.722372,B,500,restaurant
11,121.099279,24.72374,BB,500,restaurant
12,121.096253,24.72207,QA,500,restaurant
13,121.096262,24.719987,B,500,restaurant
14,121.086692,24.727005,BB,500,restaurant
15,121.084588,24.742791,QA,500,restaurant
16,121.136529,24.721213,B,500,restaurant
17,121.098,24.75122,BB,500,restaurant
18,121.082079,24.746529,QA,500,restaurant
19,121.080379,24.748563,B,500,restaurant
20,121.0802,24.77427,BB,500,restaurant
21,121.0771,24.77995,QA,500,restaurant
22,121.0753,24.78324,B,500,restaurant
23,121.082417,24.74333,BB,500,restaurant
24,121.051579,24.77134,QA,500,restaurant
25,121.050568,24.771985,B,500,restaurant
26,121.0554,24.77029,BB,500,restaurant
27,121.040915,24.809417,QA,500,restaurant
28,121.051681,24.802257,B,500,restaurant
29,121.0481,24.8076,BB,500,restaurant
30,121.051443,24.803153,QA,500,restaurant
31,121.046991,24.802636,B,500,restaurant
32,121.047446,24.807211,BB,500,restaurant
33,121.050932,24.803045,QA,500,restaurant
34,121.026419,24.816395,B,500,restaurant
35,121.026292,24.816519,BB,500,restaurant
36,121.022585,24.811634,QA,500,restaurant
37,121.024166,24.813251,B,500,restaurant
38,121.022659,24.809391,BB,500,restaurant
39,121.021774,24.809257,QA,500,restaurant
40,121.02383,24.813131,B,500,restaurant
41,121.027828,24.813884,BB,500,restaurant
42,121.02398,24.812601,QA,500,restaurant
43,121.024769,24.811926,B,500,restaurant
44,121.024334,24.809363,BB,500,restaurant
45,121.030024,24.817404,QA,500,restaurant
46,121.024642,24.821722,B,500,restaurant
47,121.0304,24.817439,BB,500,restaurant
48,121.027721,24.819589,QA,500,restaurant
49,121.025752,24.823676,B,500,restaurant
50,121.025521,24.820342,BB,500,restaurant
51,121.029904,24.819102,QA,500,restaurant
52,121.024113,24.821588,B,500,restaurant
53,121.029447,24.820116,BB,500,restaurant
54,121.03,24.822371,QA,500,restaurant
55,121.04581,24.87771,B,500,restaurant
56,121.090503,24.733156,BB,500,restaurant
57,121.090512,24.7313,QA,500,restaurant
58,120.99672,24.87008,B,500,restaurant
59,121.004776,24.836744,BB,500,restaurant
60,121.003736,24.842561,QA,500,restaurant
61,121.004188,24.842383,B,500,restaurant
62,121.002592,24.840047,BB,500,restaurant
63,121.005003,24.838736,QA,500,restaurant
64,120.996848,24.82571,B,500,restaurant
65,121.090873,24.737162,BB,500,restaurant
66,120.996006,24.842643,QA,500,restaurant
67,121.018638,24.835012,B,500,restaurant
68,121.018593,24.821675,BB,500,restaurant
69,121.015047,24.827782,QA,500,restaurant
70,121.016525,24.824998,B,500,restaurant
71,121.015994,24.825693,BB,500,restaurant
72,121.015158,24.82845,QA,500,restaurant
73,121.013484,24.820976,B,500,restaurant
74,121.013297,24.822003,BB,500,restaurant
75,121.010601,24.824827,QA,500,restaurant
76,121.015381,24.82608,B,500,restaurant
77,121.014479,24.824446,BB,500,restaurant
78,121.0147,24.82101,QA,500,restaurant
79,121.015391,24.822245,B,500,restaurant
80,121.014583,24.82508,BB,500,restaurant
81,121.03207,24.806204,QA,500,restaurant
82,121.028748,24.809964,B,500,restaurant
83,121.036487,24.807223,BB,500,restaurant
84,121.033003,24.808507,QA,500,restaurant
85,121.033163,24.804264,B,500,restaurant
86,121.033117,24.811649,BB,500,restaurant
87,121.034917,24.80728,QA,500,restaurant
88,121.030232,24.809168,B,500,restaurant
89,121.034748,24.80893,BB,500,restaurant
90,121.026487,24.834006,QA,500,restaurant
91,121.024632,24.824769,B,500,restaurant
92,121.018801,24.819239,BB,500,restaurant
93,121.021992,24.819575,QA,500,restaurant
94,121.015774,24.814834,B,500,restaurant
95,121.010073,24.821124,BB,500,restaurant
96,121.015753,24.819474,QA,500,restaurant
97,121.010121,24.823461,B,500,restaurant
98,121.05573,24.768252,BB,500,restaurant
